"Story","Title","Result","Date","Stability","Duration (s)"
"Users crud test","This test will Create a new User","SUCCESS","2023-01-03T21:04:54.431Z[Europe/London]","0.0","0.57"
"Users crud test","Verify user was added","SUCCESS","2023-01-03T21:04:55.006Z[Europe/London]","0.0","0.6"
"Users crud test","Update the user information and verify the updated information","SUCCESS","2023-01-03T21:04:55.608Z[Europe/London]","0.0","1.12"
"Users crud test","Verify user was deleted","SUCCESS","2023-01-03T21:04:56.726Z[Europe/London]","0.0","0.53"
