"Story","Title","Result","Date","Stability","Duration (s)"
"Pets crud test","This will create new Pet","SUCCESS","2023-01-03T21:04:44.535Z[Europe/London]","0.0","5.19"
"Pets crud test","Verify pet was created","SUCCESS","2023-01-03T21:04:49.750Z[Europe/London]","0.0","0.78"
"Pets crud test","Update the pet info","SUCCESS","2023-01-03T21:04:50.528Z[Europe/London]","0.0","1.48"
"Pets crud test","Delete the pet","SUCCESS","2023-01-03T21:04:52.012Z[Europe/London]","0.0","1.13"
"Users crud test","This test will Create a new User","SUCCESS","2023-01-03T21:04:54.431Z[Europe/London]","0.0","0.57"
"Users crud test","Verify user was added","SUCCESS","2023-01-03T21:04:55.006Z[Europe/London]","0.0","0.6"
"Users crud test","Update the user information and verify the updated information","SUCCESS","2023-01-03T21:04:55.608Z[Europe/London]","0.0","1.12"
"Users crud test","Verify user was deleted","SUCCESS","2023-01-03T21:04:56.726Z[Europe/London]","0.0","0.53"
